cityid,urbanArea,Albedo,Evapotranspiration,Specific_humidity,Total_precipitation_rate,Rain_precipitation_rate,Air_temperature,Wind_speed,era5h11_temperature_2m,era5h11_total_precipitation,era5h11_total_precipitation_hourly,era5h11_wind_10m,era5m_temperature_2m,era5m_temperature_2m_max,era5m_temperature_2m_min,era5m_total_precipitation_sum,era5m_wind_10m,pop,Type,continent,continent_v,max_d_rsquared,max_t_rsquared,d_const,d_lnarea,d_lnlsi,d_NDVI,d_imp,city_d_rsquared,t_const,t_lnarea,t_lnlsi,t_NDVI,t_imp,city_t_rsquared,green_space_num,ndvi_imp_green_space_num,non_cool,have_turning_point,max_g_median,max_d_mean,max_d_median,max_t_mean,max_t_median,mean_ndvi,mean_isp
57146,116.6378799,14.44955267,2.09E-06,0.015667989,2.35E-05,2.35E-05,297.3261692,3.672060366,298.1375926,0.000517,6.07E-05,2.202308103,302.6744452,311.4788715,294.4600767,0.0553764,2.384584049,92038.1315,3,North America,4,0.199446342,0.666425532,-117.5940454,-10.18223971,29.20384764,382.7116335,214.5539742,0.264395841,-7.77155023,0.403496077,-0.551811742,10.06028527,0.540143189,0.748982087,43,29,0,29,1.088323634,111.8159714,105.2334314,1.382056413,1.214286312,0.538805263,0.423234527
57188,227.7437315,15.31883702,2.23E-06,0.017829237,2.25E-05,2.25E-05,299.5471566,4.071308444,299.5348314,0.000764,8.61E-05,3.275132727,302.6740632,309.9388661,296.9760031,0.067850714,4.420686248,202281.7347,3,North America,4,0.199446342,0.666425532,-461.9180443,9.242690796,-49.35806242,747.1215916,386.9771996,0.121213157,-5.70063712,0.470925641,-0.910171588,5.17243228,0.530790015,0.199482077,49,23,4,23,0.659240657,123.16398,117.595742,0.701953069,0.514904525,0.492552138,0.477410889
57208,243.4474897,13.81937155,2.06E-06,0.01795559,2.64E-05,2.67E-05,299.0921909,3.733535347,298.9670451,0.000694,0.000103,2.319233308,302.5101543,310.5683695,296.2058442,0.076367597,3.531857901,246587.1724,3,North America,4,0.199446342,0.666425532,59.89676044,11.33551485,18.30748082,-420.5762071,256.6098459,0.05540206,-2.813994382,0.512895367,-0.873026037,-5.630940594,3.672074502,0.26611045,170,82,5,82,0.415069958,154.53223,136.5008236,0.615706332,0.522824616,0.483284526,0.593104053
57227,908.8337949,14.32249749,1.63E-06,0.016188499,2.17E-05,2.17E-05,297.1722517,3.421582769,297.9165234,0.000483,6.39E-05,2.012322663,302.5003342,311.3243506,294.6486915,0.054731101,2.413963014,1315979.161,3,North America,4,0.199446342,0.666425532,32.52915408,-4.653104972,16.17093079,174.9345929,54.67883558,0.030678041,-9.246273811,0.470104368,-0.885638711,11.79068612,1.358552968,0.691688988,93,68,0,68,1.441149157,135.2224874,128.7019256,1.914502034,1.9696452,0.556815353,0.590658977
57243,141.4913832,14.3464238,2.43E-06,0.015503556,2.26E-05,2.26E-05,297.3650291,3.792536354,298.0395863,0.000479,5.22E-05,2.288376886,302.6906702,311.7116604,294.3260224,0.05151161,2.478616518,189652.2549,3,North America,4,0.199446342,0.666425532,-363.8604837,28.25176439,-20.1975292,308.8158369,175.4545056,0.100983979,-7.988599285,0.546972048,-0.640626528,7.509970711,0.867363126,0.589421108,152,85,6,85,0.544422237,135.1159948,126.2154151,0.769400474,0.599449891,0.480806199,0.517246019
57284,1245.788047,14.52780809,1.77E-06,0.01645188,2.32E-05,2.32E-05,297.3245035,3.305714645,297.8516126,0.000473,6.18E-05,1.808469033,302.5104995,311.5413373,294.9199478,0.050049697,2.584253215,1733878.757,3,North America,4,0.199446342,0.666425532,410.4314544,15.9736429,-49.059562,-234.3580645,-355.1519627,0.081477342,-10.44084142,0.463935515,-1.164397947,15.3264801,1.303589115,0.754127731,79,50,1,50,0.86132189,154.2441977,143.2062535,1.519608755,1.0030994,0.514348763,0.659936404
57298,600.7058869,15.60734009,2.70E-06,0.017405762,2.21E-05,2.21E-05,299.3384531,4.36795227,299.3148015,0.000688,8.19E-05,3.298685245,303.1000218,311.6903475,296.6891024,0.062835334,4.424387155,698640.6349,3,North America,4,0.199446342,0.666425532,-354.0405543,12.68046085,34.63058098,561.0572063,119.9949321,0.14785368,-9.775057414,0.405520512,-0.554800639,8.638442543,5.065932869,0.551767016,120,67,3,67,0.430934316,161.8361844,163.3482451,0.853952421,0.706782353,0.49432091,0.577908463
57332,101.8418416,14.16485992,4.72E-06,0.013302215,2.80E-05,2.80E-05,297.6088881,4.100986376,298.3606245,0.000489,7.67E-05,2.14354258,303.05243,313.3551099,293.1075922,0.039321368,2.349041968,80161.25941,3,North America,4,0.199446342,0.666425532,-261.1260845,-7.49279991,44.23753325,553.1324397,274.0379646,0.077405023,-8.69309864,0.155103698,-0.247214819,13.88437101,1.666362579,0.51411632,114,53,2,53,0.42443955,141.5177995,128.7630301,0.669601034,0.506584791,0.528004068,0.468548112
57387,124.0993907,15.71673685,3.83E-06,0.016192916,1.98E-05,1.98E-05,299.2752874,5.056280568,299.2043445,0.000482,6.92E-05,3.432015529,304.1059568,314.1410515,296.2128649,0.046227404,4.330299883,254284.0589,2,North America,4,0.199446342,0.666425532,-161.0543334,24.46089469,-39.23427339,197.1147609,26.95134011,0.046021119,-7.230944403,0.9605484,-1.617340341,0.587028917,0.521522938,0.426221201,60,35,2,35,0.639427094,135.7222887,133.8918938,0.876967119,0.813571455,0.438543682,0.581369331
57392,102.790443,14.8201999,4.20E-06,0.012905147,2.32E-05,2.32E-05,297.8470557,4.481333636,298.0274589,0.000342,3.96E-05,2.961195187,303.0471142,313.5442397,293.077181,0.030840285,2.878254497,89516.2774,3,North America,4,0.199446342,0.666425532,3.711585043,-14.27226482,53.98285932,444.9546421,31.58015326,0.048379744,-4.775022448,0.101734667,-0.046171567,9.002137139,0.351774343,0.319365732,120,55,2,55,0.458312872,156.682196,154.5801471,0.709215352,0.538782409,0.483154767,0.510913788
